File: IHME_GBD_2015_SMOKING_PREVALENCE_1980_2015_Y2017M04D05.CSV,,,,,,,,,,,,
Variable:,location_id,location_name,sex_id,sex_label,age_group_id,age_group_name,year_id,measure,metric,mean,lower,upper
Label:,Location ID,Location name,Sex ID,Sex name,Age group ID,Age group name,Year ID,measure,Metric,Mean,95% uncertainty interval - upper bound,95% uncertainty interval - lower bound
Value coding:,1,Global,1,Male,7,10 to 14,1980,Daily smoking prevalence,Number,,,
,4,"Southeast Asia, East Asia, and Oceania",2,Female,8,15 to 19,1981,,Percent,,,
,5,East Asia,3,Both,9,20 to 24,1982,,,,,
,6,China,,,10,25 to 29,1983,,,,,
,7,North Korea,,,11,30 to 34,1984,,,,,
,8,Taiwan,,,12,35 to 39,1985,,,,,
,9,Southeast Asia,,,13,40 to 44,1986,,,,,
,10,Cambodia,,,14,45 to 49,1987,,,,,
,11,Indonesia,,,15,50 to 54,1988,,,,,
,12,Laos,,,16,55 to 59,1989,,,,,
,13,Malaysia,,,17,60 to 64,1990,,,,,
,14,Maldives,,,18,65 to 69,1991,,,,,
,15,Myanmar,,,19,70 to 74,1992,,,,,
,16,Philippines,,,20,75 to 79,1993,,,,,
,17,Sri Lanka,,,21,80 plus,1994,,,,,
,18,Thailand,,,22,All Ages,1995,,,,,
,19,Timor-Leste,,,27,Age-standardized,1996,,,,,
,20,Vietnam,,,,,1997,,,,,
,21,Oceania,,,,,1998,,,,,
,22,Fiji,,,,,1999,,,,,
,23,Kiribati,,,,,2000,,,,,
,24,Marshall Islands,,,,,2001,,,,,
,25,Federated States of Micronesia,,,,,2002,,,,,
,26,Papua New Guinea,,,,,2003,,,,,
,27,Samoa,,,,,2004,,,,,
,28,Solomon Islands,,,,,2005,,,,,
,29,Tonga,,,,,2006,,,,,
,30,Vanuatu,,,,,2007,,,,,
,31,"Central Europe, Eastern Europe, and Central Asia",,,,,2008,,,,,
,32,Central Asia,,,,,2009,,,,,
,33,Armenia,,,,,2010,,,,,
,34,Azerbaijan,,,,,2011,,,,,
,35,Georgia,,,,,2012,,,,,
,36,Kazakhstan,,,,,2013,,,,,
,37,Kyrgyzstan,,,,,2014,,,,,
,38,Mongolia,,,,,2015,,,,,
,39,Tajikistan,,,,,,,,,,
,40,Turkmenistan,,,,,,,,,,
,41,Uzbekistan,,,,,,,,,,
,42,Central Europe,,,,,,,,,,
,43,Albania,,,,,,,,,,
,44,Bosnia and Herzegovina,,,,,,,,,,
,45,Bulgaria,,,,,,,,,,
,46,Croatia,,,,,,,,,,
,47,Czech Republic,,,,,,,,,,
,48,Hungary,,,,,,,,,,
,49,Macedonia,,,,,,,,,,
,50,Montenegro,,,,,,,,,,
,51,Poland,,,,,,,,,,
,52,Romania,,,,,,,,,,
,53,Serbia,,,,,,,,,,
,54,Slovakia,,,,,,,,,,
,55,Slovenia,,,,,,,,,,
,56,Eastern Europe,,,,,,,,,,
,57,Belarus,,,,,,,,,,
,58,Estonia,,,,,,,,,,
,59,Latvia,,,,,,,,,,
,60,Lithuania,,,,,,,,,,
,61,Moldova,,,,,,,,,,
,62,Russia,,,,,,,,,,
,63,Ukraine,,,,,,,,,,
,64,High-income,,,,,,,,,,
,65,High-income Asia Pacific,,,,,,,,,,
,66,Brunei,,,,,,,,,,
,67,Japan,,,,,,,,,,
,68,South Korea,,,,,,,,,,
,69,Singapore,,,,,,,,,,
,70,Australasia,,,,,,,,,,
,71,Australia,,,,,,,,,,
,72,New Zealand,,,,,,,,,,
,73,Western Europe,,,,,,,,,,
,74,Andorra,,,,,,,,,,
,75,Austria,,,,,,,,,,
,76,Belgium,,,,,,,,,,
,77,Cyprus,,,,,,,,,,
,78,Denmark,,,,,,,,,,
,79,Finland,,,,,,,,,,
,80,France,,,,,,,,,,
,81,Germany,,,,,,,,,,
,82,Greece,,,,,,,,,,
,83,Iceland,,,,,,,,,,
,84,Ireland,,,,,,,,,,
,85,Israel,,,,,,,,,,
,86,Italy,,,,,,,,,,
,87,Luxembourg,,,,,,,,,,
,88,Malta,,,,,,,,,,
,89,Netherlands,,,,,,,,,,
,90,Norway,,,,,,,,,,
,91,Portugal,,,,,,,,,,
,92,Spain,,,,,,,,,,
,93,Sweden,,,,,,,,,,
,94,Switzerland,,,,,,,,,,
,95,United Kingdom,,,,,,,,,,
,96,Southern Latin America,,,,,,,,,,
,97,Argentina,,,,,,,,,,
,98,Chile,,,,,,,,,,
,99,Uruguay,,,,,,,,,,
,100,High-income North America,,,,,,,,,,
,101,Canada,,,,,,,,,,
,102,United States,,,,,,,,,,
,103,Latin America and Caribbean,,,,,,,,,,
,104,Caribbean,,,,,,,,,,
,105,Antigua and Barbuda,,,,,,,,,,
,106,The Bahamas,,,,,,,,,,
,107,Barbados,,,,,,,,,,
,108,Belize,,,,,,,,,,
,109,Cuba,,,,,,,,,,
,110,Dominica,,,,,,,,,,
,111,Dominican Republic,,,,,,,,,,
,112,Grenada,,,,,,,,,,
,113,Guyana,,,,,,,,,,
,114,Haiti,,,,,,,,,,
,115,Jamaica,,,,,,,,,,
,116,Saint Lucia,,,,,,,,,,
,117,Saint Vincent and the Grenadines,,,,,,,,,,
,118,Suriname,,,,,,,,,,
,119,Trinidad and Tobago,,,,,,,,,,
,120,Andean Latin America,,,,,,,,,,
,121,Bolivia,,,,,,,,,,
,122,Ecuador,,,,,,,,,,
,123,Peru,,,,,,,,,,
,124,Central Latin America,,,,,,,,,,
,125,Colombia,,,,,,,,,,
,126,Costa Rica,,,,,,,,,,
,127,El Salvador,,,,,,,,,,
,128,Guatemala,,,,,,,,,,
,129,Honduras,,,,,,,,,,
,130,Mexico,,,,,,,,,,
,131,Nicaragua,,,,,,,,,,
,132,Panama,,,,,,,,,,
,133,Venezuela,,,,,,,,,,
,134,Tropical Latin America,,,,,,,,,,
,135,Brazil,,,,,,,,,,
,136,Paraguay,,,,,,,,,,
,137,North Africa and Middle East,,,,,,,,,,
,138,North Africa and Middle East,,,,,,,,,,
,139,Algeria,,,,,,,,,,
,140,Bahrain,,,,,,,,,,
,141,Egypt,,,,,,,,,,
,142,Iran,,,,,,,,,,
,143,Iraq,,,,,,,,,,
,144,Jordan,,,,,,,,,,
,145,Kuwait,,,,,,,,,,
,146,Lebanon,,,,,,,,,,
,147,Libya,,,,,,,,,,
,148,Morocco,,,,,,,,,,
,149,Palestine,,,,,,,,,,
,150,Oman,,,,,,,,,,
,151,Qatar,,,,,,,,,,
,152,Saudi Arabia,,,,,,,,,,
,153,Syria,,,,,,,,,,
,154,Tunisia,,,,,,,,,,
,155,Turkey,,,,,,,,,,
,156,United Arab Emirates,,,,,,,,,,
,157,Yemen,,,,,,,,,,
,158,South Asia,,,,,,,,,,
,159,South Asia,,,,,,,,,,
,160,Afghanistan,,,,,,,,,,
,161,Bangladesh,,,,,,,,,,
,162,Bhutan,,,,,,,,,,
,163,India,,,,,,,,,,
,164,Nepal,,,,,,,,,,
,165,Pakistan,,,,,,,,,,
,166,Sub-Saharan Africa,,,,,,,,,,
,167,Central Sub-Saharan Africa,,,,,,,,,,
,168,Angola,,,,,,,,,,
,169,Central African Republic,,,,,,,,,,
,170,Congo,,,,,,,,,,
,171,Democratic Republic of the Congo,,,,,,,,,,
,172,Equatorial Guinea,,,,,,,,,,
,173,Gabon,,,,,,,,,,
,174,Eastern Sub-Saharan Africa,,,,,,,,,,
,175,Burundi,,,,,,,,,,
,176,Comoros,,,,,,,,,,
,177,Djibouti,,,,,,,,,,
,178,Eritrea,,,,,,,,,,
,179,Ethiopia,,,,,,,,,,
,180,Kenya,,,,,,,,,,
,181,Madagascar,,,,,,,,,,
,182,Malawi,,,,,,,,,,
,183,Mauritius,,,,,,,,,,
,184,Mozambique,,,,,,,,,,
,185,Rwanda,,,,,,,,,,
,186,Seychelles,,,,,,,,,,
,187,Somalia,,,,,,,,,,
,189,Tanzania,,,,,,,,,,
,190,Uganda,,,,,,,,,,
,191,Zambia,,,,,,,,,,
,192,Southern Sub-Saharan Africa,,,,,,,,,,
,193,Botswana,,,,,,,,,,
,194,Lesotho,,,,,,,,,,
,195,Namibia,,,,,,,,,,
,196,South Africa,,,,,,,,,,
,197,Swaziland,,,,,,,,,,
,198,Zimbabwe,,,,,,,,,,
,199,Western Sub-Saharan Africa,,,,,,,,,,
,200,Benin,,,,,,,,,,
,201,Burkina Faso,,,,,,,,,,
,202,Cameroon,,,,,,,,,,
,203,Cape Verde,,,,,,,,,,
,204,Chad,,,,,,,,,,
,205,Cote d'Ivoire,,,,,,,,,,
,206,The Gambia,,,,,,,,,,
,207,Ghana,,,,,,,,,,
,208,Guinea,,,,,,,,,,
,209,Guinea-Bissau,,,,,,,,,,
,210,Liberia,,,,,,,,,,
,211,Mali,,,,,,,,,,
,212,Mauritania,,,,,,,,,,
,213,Niger,,,,,,,,,,
,214,Nigeria,,,,,,,,,,
,215,Sao Tome and Principe,,,,,,,,,,
,216,Senegal,,,,,,,,,,
,217,Sierra Leone,,,,,,,,,,
,218,Togo,,,,,,,,,,
,298,American Samoa,,,,,,,,,,
,305,Bermuda,,,,,,,,,,
,349,Greenland,,,,,,,,,,
,351,Guam,,,,,,,,,,
,376,Northern Mariana Islands,,,,,,,,,,
,385,Puerto Rico,,,,,,,,,,
,422,"Virgin Islands, U.S.",,,,,,,,,,
,433,Northern Ireland,,,,,,,,,,
,434,Scotland,,,,,,,,,,
,435,South Sudan,,,,,,,,,,
,522,Sudan,,,,,,,,,,
,4636,Wales,,,,,,,,,,
,4749,England,,,,,,,,,,
,44634,High-middle SDI,,,,,,,,,,
,44635,High SDI,,,,,,,,,,
,44636,Low-middle SDI,,,,,,,,,,
,44637,Low SDI,,,,,,,,,,
,44639,Middle SDI,,,,,,,,,,
